GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
0500000US38019,38019,"Cavalier County, North Dakota",35507,2878,15156,5125,25076,4061,40556,5164,40357,9131,56250,25482,44129,2491,16406,12601,35278,4834,52564,4044,54167,5172,60917,37048,24719,3248,11591,8002,13125,3511,25132,3852,32500,8182,41985,29374
0500000US38021,38021,"Dickey County, North Dakota",28239,2814,23750,10665,25927,4419,26653,2840,33690,8235,37857,14480,37065,4264,31875,6104,34265,6022,37500,11456,52171,5801,30357,10504,20657,1753,12188,7704,18140,1914,23013,3595,22422,6587,41250,10614
0500000US38023,38023,"Divide County, North Dakota",31319,3055,11688,2149,27197,8159,31447,3784,36500,13637,49531,18946,48559,2939,20938,14883,50474,9795,47604,16466,71250,17260,68500,20786,23313,5536,10875,1195,18750,8058,26034,3902,25703,7974,48281,39057
0500000US38025,38025,"Dunn County, North Dakota",31568,4169,26806,11122,27292,9419,31964,5157,32375,9511,42500,17086,48482,7928,37750,8710,49583,16777,52054,7685,56563,38766,30000,30025,20794,1891,21161,4973,17500,7765,20559,2429,27292,12141,50000,18437
0500000US38027,38027,"Eddy County, North Dakota",30776,1929,23750,3817,26000,2918,29375,3511,37639,2545,41667,9123,35542,4330,24643,5300,25227,4137,36364,8972,44375,11510,48750,21992,25495,1592,22969,10668,26447,3031,22548,2896,35655,6113,40417,9182
0500000US38029,38029,"Emmons County, North Dakota",28424,3693,22500,27494,21431,1977,31667,5620,40745,1786,55417,22213,37500,6119,42857,14981,28393,5553,40000,8631,45714,7925,51667,26267,21892,3609,5417,2559,14489,2666,27019,3087,38571,14475,58438,53631
0500000US38031,38031,"Foster County, North Dakota",35710,1702,42750,21974,29871,5525,34695,2668,55417,12904,26957,19166,50370,6248,44800,20254,41250,2341,50000,8978,68500,11280,-,**,25324,2466,12292,11026,16932,5192,24063,7444,35921,2481,26467,830
0500000US38033,38033,"Golden Valley County, North Dakota",28616,3677,9205,14055,21875,8708,30066,5022,30224,3788,56458,57635,38750,11991,20625,16460,45000,24166,43333,19565,29271,40451,37292,159886,22560,4156,8068,7285,15573,1868,25511,4130,30449,7088,-,**
0500000US38035,38035,"Grand Forks County, North Dakota",35457,913,21619,4992,27155,2032,34072,1357,41391,1770,60204,5927,41712,911,27628,3519,34542,1953,41435,1155,48671,4133,67183,6702,30117,1282,14885,3067,20840,742,27836,2063,35192,1585,52666,4886
0500000US38037,38037,"Grant County, North Dakota",28536,2778,20833,9711,26250,1910,29952,2810,32679,5244,18472,24476,37727,5254,26250,23319,32344,10872,44306,7343,37188,10693,16136,2304,25575,4338,7083,5008,21696,3911,25000,8234,31500,2505,40568,26086
0500000US38039,38039,"Griggs County, North Dakota",32864,1643,29792,8257,22255,4388,35000,2821,37404,5415,31875,7110,37628,4668,33235,7432,31875,7659,40341,4529,48438,8182,32143,12453,26528,2611,11042,3253,14402,3652,33525,1075,28500,6297,-,**
0500000US38041,38041,"Hettinger County, North Dakota",27969,3352,7500,8623,26625,2480,27305,5150,37596,3765,47083,24533,38155,3951,9500,22700,36136,4050,39659,4992,56250,28843,46250,21749,18529,2120,"2,500-",***,16429,2064,19500,3244,32045,4304,70500,93617
0500000US38043,38043,"Kidder County, North Dakota",30657,2758,18947,11141,26484,6006,35000,6926,36250,7965,37250,8799,37500,3842,19559,31369,31875,4705,48000,10569,47361,7709,37000,5373,21490,4334,13500,14658,15167,2512,19643,3783,31750,8007,42917,26385
0500000US38045,38045,"LaMoure County, North Dakota",31750,1452,25104,5444,28661,3359,30064,3413,40125,3397,47500,14882,43699,2719,35278,20462,32917,3973,49333,4255,51932,3708,75156,49718,22115,2210,16750,7478,22500,3440,21026,2740,25714,7011,39464,13620
